,DSC03939,DSC03931,DSC03935,DSC04873,test,DSC04879,DSC04885
0,8467,9684,8016,5261,13839,4892,3207
1,221,577,564,434,95,412,40
2,871,1664,1058,806,90,777,156
3,1045,1668,1158,635,101,850,126
4,470,758,534,455,140,591,100
5,924,2167,1318,1110,184,1476,141
6,1377,1991,1682,925,95,913,230
7,3794,4643,3924,2512,141,2449,748
8,4592,7119,5746,2329,95,2906,712
9,1438,2498,1696,1389,94,1782,343
10,2642,4124,3356,2498,96,3367,811
11,6223,7167,7240,3794,144,3810,1258
12,3319,4724,4185,2909,94,3957,1138
13,5441,5462,6157,3955,96,5556,2106
14,4744,5812,6441,3566,248,5401,1834
15,13725,11922,16149,7331,96,10806,4235
16,10807,6271,10643,6561,110,9252,4330
17,7370,4389,7683,4553,105,6824,3798
18,28921,16067,28032,12681,179,17681,10691
19,9735,6083,11915,6080,1496,7534,3532
20,22288,7532,18093,9319,9415,13661,9838
21,21405,8069,20747,10131,187,13455,9465
22,17450,6306,15172,8402,211,10800,7302
23,27394,9574,22027,12592,117,15043,12093
24,17331,6141,14931,11150,153,12433,11107
25,13131,5886,11239,11127,110,11207,10772
26,15266,7353,14475,12247,155,14240,12764
27,5352,2802,5426,10319,103,14502,12703
28,9422,6615,11159,12253,107,15959,16035
29,11430,6719,13862,13981,179,20455,14635
30,4892,2129,7072,12716,107,16861,17864
31,11170,5673,14052,13599,114,15452,18425
32,255,151,677,6981,103,8523,14075
33,3032,797,4401,8293,174,10944,18552
34,5332,3146,8120,8705,140,15075,20585
35,5636,3871,7957,6080,138,16231,14771
36,10133,3250,13020,10543,102,23393,18016
37,2795,777,3929,7157,152,22962,14142
38,1111,293,2049,10480,103,24181,18341
39,1283,333,2617,15643,106,20239,21553
40,4001,1084,5179,18229,163,16304,21531
41,559,225,1331,12791,125,9633,20173
42,12138,9021,16702,14377,1747,11670,17287
43,295,85,488,8150,122,6280,12567
44,1833,541,2314,6526,144,5447,10515
45,4561,1649,6133,4530,94,4650,7342
46,3038,815,4626,4396,94,5618,8244
47,3569,2118,4626,3306,94,4749,7804
48,3935,1320,4792,3870,141,5172,8479
49,8101,4997,11607,7283,95,10357,12754
50,4925,2743,5350,2976,117,3887,6432
51,3957,2898,4145,3436,96,5424,6382
52,2461,748,3174,2537,145,4054,5210
53,2448,1045,3252,2247,118,3307,4278
54,3660,2309,4257,2797,100,4439,4627
55,271,55,175,1235,151,1728,2408
56,2575,1994,3079,2510,95,3990,4483
57,639,143,593,1394,96,1677,2507
58,816,249,822,1947,96,2371,3673
59,3024,2477,4225,2566,142,3327,3752
60,4472,3762,5837,3406,95,4785,4808
61,1003,522,1275,1605,95,1950,2810
62,626,188,516,1433,94,2051,2319
63,1760,1174,1829,2228,142,3206,3390
64,38,15,16,377,96,317,619
65,1793,937,1862,2978,94,4219,3961
66,157,44,51,855,94,857,1365
67,68,29,7,532,141,369,910
68,2805,2272,3331,3040,94,4494,3662
69,19,6,3,336,95,194,698
70,606,2628,3750,2659,143,2919,2046
71,2769,279,517,1149,96,1154,1656
72,87,9,3087,353,94,2344,569
73,3430,2982,1849,3096,94,2343,2814
74,109,60,67,732,141,420,879
75,286,251,342,842,95,902,764
76,864,454,948,1828,94,1847,1558
77,250,165,246,1368,96,1085,1010
78,1671,1717,2673,685,141,781,497
79,2231,1898,3546,2006,94,2477,1546
80,112,54,107,754,94,503,650
81,863,736,1131,899,94,1047,648
82,432,253,557,1390,141,1145,822
83,89,24,67,690,94,341,522
84,0,0,0,0,94,0,28
85,2430,2178,3995,2211,141,2298,1033
86,3,2,8,79,94,38,166
87,163,111,263,924,94,626,442
88,406,283,708,1060,94,828,502
89,1240,985,2387,1642,141,1693,1015
90,10,11,39,342,94,129,271
91,1,2,20,136,94,53,21
92,703,714,1428,812,94,966,506
93,3410,3134,5845,2513,141,2205,981
94,154,111,1689,911,94,1268,302
95,661,531,61,1179,95,104,475
96,760,750,1670,777,94,627,244
97,82,68,188,483,0,268,174
98,937,841,2311,2157,141,1465,556
99,2426,2188,4496,1600,94,1386,540
100,0,6,28,95,94,46,13
101,460,331,1240,922,141,477,250
102,426,383,1480,1801,94,810,322
103,18,7,31,58,94,27,35
104,3253,3132,6961,3648,98,2235,755
105,19,13,60,63,141,35,49
106,2889,2644,3322,1075,94,1091,568
107,788,757,2330,1602,94,882,197
108,151,181,713,456,94,238,63
109,294,175,1238,1167,141,380,117
110,47,5,225,158,94,51,8
111,5,1,36,13,94,9,4
112,1483,1479,3230,1688,141,828,171
113,6793,5330,10894,3850,94,2102,671
114,277,223,738,574,96,229,34
115,4,16,55,38,99,15,7
116,260,178,1002,854,141,191,46
117,2907,2430,4052,1346,94,775,297
118,344,268,842,737,96,206,22
119,1231,1312,2672,1635,94,635,137
120,1076,1247,2273,1140,141,457,65
121,220,240,793,597,94,143,25
122,469,252,704,662,94,118,27
123,4391,3770,5970,2591,94,1027,231
124,124,121,499,373,161,43,3
125,943,977,1627,1087,96,195,45
126,185,161,543,573,94,50,12
127,8861,6725,8940,3680,141,1851,1630
128,13,6,55,49,95,3,2
129,1058,1217,1634,1409,94,196,33
130,1503,1450,1341,789,96,148,28
131,1740,1959,2085,973,142,235,82
132,643,857,834,661,162,140,17
133,688,1348,722,1176,95,119,27
134,4935,4608,3872,1524,100,535,140
